raw_api_name,canonical_name,file_name,status,notes,selected_for_run,run_phase,stage,test_file_exists,final_status,pytest_outcome,failure_category,root_cause_summary,tests_total,passed_count,skipped_count,xfailed_count,failed_count,error_count,fix_recommendation,auto_fixable,fix_applied,fix_target,rerun_status,changed_files,fix_artifact,report_path,intervention_type,intervention_reason,last_updated_utc
torch.nn.Parameter.size,torch.nn.Parameter.size,test_nn_Parameter_size.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,27,27,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.nn.Parameter.stride,torch.nn.Parameter.stride,test_nn_Parameter_stride.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,16,16,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.nn.Parameter.dtype,torch.nn.Parameter.dtype,test_nn_Parameter_dtype.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,11,11,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.nn.Parameter.itemsize,torch.nn.Parameter.itemsize,test_nn_Parameter_itemsize.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,12,12,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.autograd._unsafe_preserve_version_counter,torch.autograd._unsafe_preserve_version_counter,test_autograd__unsafe_preserve_version_counter.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,13,13,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.library,torch.library,test_library.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,5,5,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._dynamo.compiled_autograd.compiled_autograd_enabled,torch._dynamo.compiled_autograd.compiled_autograd_enabled,test__dynamo_compiled_autograd_compiled_autograd_enabled.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,5,5,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,test__dynamo_compiled_autograd_compiled_autograd_enabled_force_eager.py,analyzed,,yes,final,final,yes,analyzed,no_tests_recorded,UNKNOWN,未捕获到明确的失败详情。,0,0,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,human_required,unknown_failure,2026-03-23 15:52:24 UTC
torch._dynamo.compiled_autograd.in_compiled_autograd_region,torch._dynamo.compiled_autograd.in_compiled_autograd_region,test__dynamo_compiled_autograd_in_compiled_autograd_region.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._running_with_deploy,torch._running_with_deploy,test__running_with_deploy.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,10,10,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.utils._python_dispatch.is_traceable_wrapper_subclass,torch.utils._python_dispatch.is_traceable_wrapper_subclass,test_utils__python_dispatch_is_traceable_wrapper_subclass.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,17,17,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch._dynamo.comptime.comptime.print,torch._dynamo.comptime.comptime.print,test__dynamo_comptime_comptime_print.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,11,11,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
